,제목,가사
1445,유자차,<인디>바닥에 남은 차가운 껍질에 뜨거운 눈물을 부어 그만큼 달콤하지는 않지만 울지 않을 수 있어 온기가 필요했잖아 이제는 지친 마음을 쉬어 이 차를 다 마시고 봄날으로 가자 우리 좋았던 날들의 기억을 설탕에 켜켜이 묻어 언젠가 문득 너무 힘들 때면 꺼내어 볼 수 있게 그때는 좋았었잖아 지금은 뭐가 또 달라졌지 이 차를 다 마시고 봄날으로 가자
1446,이웃에 방해가 되지 않는 선에서,<인디>친구가 내게 말을 했죠 기분은 알겠지만 시끄럽다고 음악 좀 줄일 수 없냐고 네 그러면 차라리 나갈게요 그래 알고 있어 한심한 걸 걱정 끼치는 건 나도 참 싫어서 슬픈 노랠 부르면서 혼자서 달리는 자정의 공원 그 여름날 밤 가로등 그 불빛아래 잊을 수도 없는 춤을 춰 귓가를 울리는 너의 목소리에 믿을 수도 없는 꿈을 꿔 이제는 늦은 밤 방 한구석에서 헤드폰을 쓰고 춤을 춰 귓가를 울리는 슬픈 음악 속에 난 울 수도 없는 춤을 춰 내일은 출근해야 하고 주변의 이웃들은 자야 할 시간 벽을 쳤다간 아플 테고 갑자기 떠나버릴 자신도 없어 그래 알고 있어 한심한 걸 걱정 끼치는 건 나도 참 싫어서 슬픈 노랠 부르면서 혼자서 달리는 자정의 공원 그 여름날 밤 가로등 그 불빛아래 잊을 수도 없는 춤을 춰 귓가를 울리는 너의 목소리에 믿을 수도 없는 꿈을 꿔 이제는 늦은 밤 방 한구석에서 헤드폰을 쓰고 춤을 춰 귓가를 울리는 슬픈 음악 속에 난 울 수도 없는 춤을 춰
1447,보편적인 노래,<인디>보편적인 노래를 너에게 주고 싶어 이건 너무나 평범해서 더 뻔한 노래 어쩌다 우연히 이 노래를 듣는다 해도 서로 모른 채 지나치는 사람들처럼 그때 그때의 사소한 기분 같은 건 기억조차 나지 않았을 거야 이렇게 생각을 하는 건 너무 슬퍼 사실 아니라고 해도 난 아직 믿고 싶어 너는 이 노래를 듣고서 그때의 마음을 기억할까 조금은 보편적인 노래가 되어 보편적인 날들이 되어 보편적인 일들이 되어 함께한 시간도 장소도 마음도 기억나지 않는 보편적인 사랑의 노래 보편적인 이별의 노래에 문득 선명하게 떠오르는 그때 그때의 그때 이렇게 생각을 하는 건 너무 슬퍼 사실 아니라고 해도 난 아직 믿고 싶어 너는 이 노래를 듣고서 그때의 마음을 기억할까 조금은 보편적인 노래가 되어 보편적인 날들이 되어 보편적인 일들이 되어 함께한 시간도 장소도 마음도 기억나지 않는 보편적인 사랑의 노래 보편적인 이별의 노래에 문득 선명하게 떠오르는 그때 그때의 그때 그렇게 소중했었던 마음이 이젠 지키지 못할 그런 일들로만 남았어 괜찮아 이제는 그냥 잊어버리자 아무리 아니라 생각을 해보지만 보편적인 노래가 되어 보편적인 날들이 되어 보편적인 일들이 되어 함께한 시간도 장소도 마음도 기억나지 않는 보편적인 사랑의 노래 보편적인 이별의 노래에 문득 선명하게 떠오르는 그때 그때의 그때
1448,나를 잘 알지도 못하면서,<인디>나를 잘 알지도 못하면서 왜 그런 말을 하는지 그 말 감당할 수 있는지 그냥 앞만 보고 살아가면 안 될까 신경 끄고 행복하기에도 모자란 시간인데 어떤 짓을 하고 있는지도 모른 채 돌을 던지는 항상 자신이 가장 억울한 사람들 눈을 마주 보고도 그런 말을 할 수 있겠니 네가 했던 말들을 너 자신을 걸고 나를 잘 알지도 못하면서 왜 그런 말을 하는지 그 말 감당할 수 있는지 눈을 마주 보고도 그런 말을 할 수 있겠니 네가 했던 말들을 너 자신을 걸고 나를 잘 알지도 못하면서 왜 그런 말을 하는지 그 말 감당할 수 있는지 감당할 수 있는지 감당할 수 있는지 감당할 수 있는지 감당할 수 있는지
1449,서른 (Vocal 이아름),<인디>만약 지금이 내 인생의 가장 아름다운 순간이라면 그건 참 유감이네 그동안은 아직 나는 행복하지 않았거든 아닌 걸 아니라고 하는 데까지 너무 많은 시간을 버려야 했던 날을 버티고 나서 찾아온 지금이 어쩌면 정말 어른이 되는 순간 서러운 날이 아직 끝나지 않았다고 해도 그건 아마 시작이기 때문일지 몰라 조금 힘겨운 하루였다고 해도 언제나 그렇지는 않을 수도 있겠지 만약 지금이 내 인생의 가장 아름다운 순간이라면 아닌 걸 아니라고 하는 데까지 너무 많은 시간을 버려야 했던 날을 버티고 나서 찾아온 지금이 어쩌면 정말 어른이 되는 순간 서러운 날이 아직 끝나지 않았다고 해도 그건 아마 시작이기 때문일지 몰라 조금 힘겨운 하루였다고 해도 항상 그렇지는 않을 수도 있겠지
1450,좋았었던 날은,<인디>우리 좋았었던 날도 끝이 있다는 걸 알고 있었지만 바로 받아 들일 수가 없어서 좋았던 날을 모두 두고서야 돌아설 수 있었네 휘청이며 마음만은 앞선 채로 모두 잡아두려 했던 건 나의 욕심이었을까 나를 비껴 세울 수도 없는데 무슨 사랑을 말해 위로를 말해 우리 좋았었던 날은 모두 두고서야 돌아설 수 있었네 휘청이며 마음만은 앞선 채로 모두 잡아두려 했던 건 나의 욕심이었을까 나를 비껴 세울 수도 없는데 무슨 사랑을 말해 위로를 말해 우리 좋았었던 날은 모두 두고서야 돌아설 수 있었네
1451,잊어야 할 일은 잊어요,<인디>잊어야 할 일은 잊어요 아직까지 잠들지 못했나요 잊어야 할 일은 잊어요 아직 나는 잘 모르겠어요 잊지 못할 사랑을 하고 또 잊지 못할 이별을 하고 쉽지 않은 마음을 알지만 그런 사람이 어디 한둘 인가요 마음대로 되지 않는 걸 담아둬서 무엇할까요 잊어야 할 일은 잊고서 새로운 시간으로 떠날까요
1452,울지마,<인디>울지마 네가 울면 아무 것도 할 수가 없어 작은 위로의 말이라도 해주고 싶지만 세상이 원래 그런거라는 말은 할 수가 없고 아니라고 하면 왜 거짓말같지 울지마 네가 울면 아무 말도 할 수가 없어 뭐라도 힘이 될 수 있게 말해주고 싶은데 모두다 잘 될 거라는 말을 한다고 해도 그건 말일 뿐이지 그렇지 않니 울지 마 왜 잘못하지도 않은 일들에 가슴 아파하는지 그 눈물을 참아내는 건 너의 몫이 아닌데 왜 네가 하지도 않은 일들에 사과해야 하는지 약한 사람은 왜 더 모두다 잘 될 거라는 말을 한다고 해도 그건 말일 뿐이지 그렇지 않니 울지 마 왜 잘못하지도 않은 일들에 가슴 아파하는지 그 눈물을 참아내는 건 너의 몫이 아닌데 왜 네가 하지도 않은 일들에 사과해야 하는지 약한 사람은 왜 더
1453,졸업,<인디>그 어떤 신비로운 가능성도 희망도 찾지 못해 방황하던 청년들은 쫓기듯 어학연수를 떠나고 꿈에서 아직 덜 깬 아이들은 내일이면 모든 게 끝날 듯 짝짓기에 몰두했지 난 어느 곳에도 없는 나의 자리를 찾으려 헤매었지만 갈 곳이 없고 우리들은 팔려가는 서로를 바라보며 서글픈 작별의 인사들을 나누네 이 미친 세상에 어디에 있더라도 행복해야 해 넌 행복해야 해 행복해야 해 이 미친 세상에 어디에 있더라도 잊지 않을게 잊지 않을게 널 잊지 않을게 낯설은 풍경들이 지나치는 오후의 버스에서 깨어 방황하는 아이 같은 우리 어디쯤 가야만 하는지 벌써 지나친 건 아닌지 모두 말하지만 알 수가 없네 난 어느 곳에도 없는 나의 자리를 찾으려 헤매었지만 갈 곳이 없고 우리들은 팔려가는 서로를 바라보며 서글픈 작별의 인사들을 나누네 이 미친 세상에 어디에 있더라도 행복해야 해 넌 행복해야 해 행복해야 해 이 미친 세상에 어디에 있더라도 잊지 않을게 잊지 않을게 널 잊지 않을게 이 미친 세상에 이 미친 세상에 이 미친 세상에 이 미친 세상에 이 미친 세상에 이 미친 세상에 이 미친 세상을 믿지 않을게 이 미친 세상에 이 미친 세상에 이 미친 세상에 이 미친 세상에 이 미친 세상에 이 미친 세상에 이 미친 세상을 믿지 않을게
1454,춤,<인디>우리 긴 춤을 추고 있어 자꾸 내가 발을 밟아 고운 너의 그 두 발이 멍이 들잖아 넌 어떡해 어떻게 해야해 이 춤을 멈추고 싶지 않아 그럴 수록 맘이 바빠 급한 나의 발걸음은 자꾸 박자를 놓치는 걸 자꾸만 떨리는 너의 두 손 함께라면 어떤 것도 상관 없나요 아니라는 건 아니지만 정말 그런 걸까 함께라는 건 그렇게 쉽지 않은데 그만큼 그만 하는 것도 쉽지 않은데 함께라면 어떤 것도 상관 없나요 아니라는 건 아니지만 정말 그런 걸까 함께라는 건 그렇게 쉽지 않은데 그만큼 그만 하는 것도 쉽지 않은데 우리 긴 꿈을 꾸고 있어 문득 꿈이 깨진 않을까 눈을 뜨면 모든 게 사라지는 건 아닐까 마치 없었던 일처럼 난 눈을 감고 춤을 춰
1455,2020,<인디>모든것이 무너지고 있었지 천천히 기울어가는 하루 또 일년 쏟아지는 햇살에 말라버린 풀 처럼 더디 타버린 마음 우리 이제 그만 접을까 많이 버텼으니까 더 참다가 속마음을 들키고 무너지면 나 다시는 일어설 수 없을 것 같아 포기해도 괜찮지 않을까 차라리 투정부리는게 나을지도 몰라 희미해져가는 날들을 붙잡는게 삶이라면 올해는 우리 이제 그만 접을까 많이 버텼으니까 더 참다가 속마음을 들키고 무너지면 나 다시는 일어설 수 없을 것 같아 포기해도 괜찮지 않을까 차라리 투정부리는게 나을지도 몰라 희미해져가는 날들을 붙잡는게 삶이라면 올해는 길었던 날들이 더 길어지면 다시 오지 않을 날은 더 그립겠지 끝없이 반복되는 이천이십년 어딘가에 네가 있겠지
1456,1/10,<인디>우리가 함께 했던 날들의 열에 하나만 기억해줄래 우리가 아파했던 날은 모두 나 혼자 기억할게 혹시 힘든 일이 있다면 모두 잊어줘 다 나의 몫이지만 듣고 싶은 말이 남았다면 네가 했던 말 다 너에게 줄게 우리가 살아 있던 날들의 열에 하나만 기억해 줄래 우리가 아파했던 날은 모두 나 혼자 기억할게
1458,바른생활,<인디>아무것도 하지 못하고 방안에만 있었지 정확히 말하자면 모든것을 피해 도망가는 마음으로 입이 차마 떨어지지 않던 날들 답답했던 긴 시간 동안 나는 나를 돌보지 않음으로 무언가를 말하려 했지 그런건 아무 의미 없는데 밥을 잘 먹고 잠을 잘 자자 생각을 하지말고 생활을 하자 물을 마시고 청소를 하자 그냥 걸어 가다보면 잊혀지는 것도 있어 아름다운 풍경도 또다시 나타날거야 정확히 말하자면 모든것을 피해 도망가는 마음으로 입이 차마 떨어지지 않던 날들 답답했던 긴 시간 동안 나는 나를 돌보지 않음으로 무언가를 말하려 했지 그런건 아무 의미 없는데 밥을 잘 먹고 잠을 잘 자자 생각을 하지말고 생활을 하자 물을 마시고 청소를 하자 그냥 걸어 가다보면 잊혀지는 것도 있어 아름다운 풍경도 또다시 나타날거야 그냥 걸어 가다보면 잊혀지는 것도 있어 아름다운 풍경도 또다시 나타날거야
1459,커뮤니케이션의 이해,<인디>설명하려 했지만 설명할 수 없는 일들이 있어 그렇지만 그게 왜인 건지 내가 이상한 것 같아 나의 말들은 자꾸 줄거나 또 다시 늘어나 마음속에서만 어떤 경우라도 넌 알지 못하는 진짜 마음이 닿을 수가 있게 꼭 맞는 만큼만 말하고 싶어 이해하려 했지만 이해할 수 없는 사람도 있어 그렇지만 욕심많은 그들은 모두 미쳐버린 것 같아 말도 안되는 말을 늘어놔 거짓말처럼 사실 아닌 말로 속이려고 해도 넌 알지 못하는 그런건가 봐 생각이 있다면 좀 말같은 말을 들어보고 싶어 나의 말들은 자꾸 줄거나 또 다시 늘어나 마음속에서만 어떤 경우라도 넌 알지 못하는 진짜 마음이 닿을 수가 있게 좀 말같은 말을 해보고 싶어
1460,좋은 사람이 아니에요,<인디>나는 좋은 사람이 아니에요 아주 나쁜 사람은 아닐 뿐이죠 하지만 나도 잘 모르겠네요 당신이 그렇다면 그렇겠네요 내 속엔 나쁜 생각들이 많아요 다만 망설임을 알고 있을 뿐 입 밖으로 나다니는 말들은 조금은 점잖아야 할 테니까요 아주 거칠게 말하자면 우린 높은 확률로 서로 실망하게 될 일만 남은 셈이죠 굳이 부끄러운 일기장을 펼쳐 솔직해질 필요는 없죠 굳이 단정하는 사람을 믿지 말아요 세상은 둘로 나눠지지 않아요 내가 당신을 사랑하지 않는 게 당신을 미워하는 게 아닌 것처럼 좋은 사람을 믿나요 나쁜 사람을 사랑하고 있나요 그런 사람은 어떤 사람일까요 당신이 그렇다면 그렇겠네요 나는 좋은 사람이 아니에요 아주 나쁜 사람은 아닐 뿐이죠 하지만 나도 잘 모르겠네요 당신이 그렇다면 그렇겠네요
1462,라면 너라면 괜찮아,<인디>아무것도 하고 싶지 않은 날 아니 누구도 만날 수 없는 날 혼자 먹는 저녁이 초라해도 라면 너라면 괜찮아 넌 나를 떠나가지 않을거잖아 언제나 필요할 때 있을거잖아 날 너무 기다리게 만들지 않을거잖아 식은밥 같은 내 맘도 감싸주잖아 따뜻한 눈물을 마시면 콧등엔 땀이 쓱 닦아내면 다 괜찮아 넌 나를 떠나가지 않을거잖아 언제나 필요할 때 있을거잖아 날 너무 기다리게 만들지 않을거잖아 식은밥 같은 내 맘도 감싸주잖아 따뜻한 눈물을 마시면 콧등엔 땀이 쓱 닦아내면 다 괜찮아 라면 너라면 괜찮아 라면 너라면 라면 너라면 라면 너라면 괜찮아
1464,다섯시 반,<인디>울지 말고 잠이 들면 아침 해가 날아들거야 알잖아 모두가 잠든 밤에도 그렇게 뭐 그다지 우울한 기분도 아닌데도 잠들지 못하는 건 참 이상해 뭐 별다른 생각도 나지도 않는데도 괜찮아 눈을 감아 불안이 너를 데려가는 시간을 멈추고 노래하자 울지 말고 잠이 들면 아침 해가 날아들거야 울지 말고 잠이 들면 아침 해가 날아들거야 알잖아 모두가 잠든 밤에도 이렇게 뭐 그다지 우울한 기분도 아닌데도 잠들지 못하는 건 참 이상해 뭐 별다른 생각도 나지도 않는데도 괜찮아 눈을 감아 불안이 너를 데려가는 시간을 멈추고 노래하자 울지 말고 잠이 들면 아침 해가 날아들거야 울지 말고 잠이 들면 아침 해가 날아들거야 울지 말고 잠이 들면 아침 해가 날아들거야 울지 말고 잠이 들면 아침 해가 날아들거야 알잖아
